order_id,question,label
ORD20260811001,我昨天收到的裙子，试穿发现拉链是坏的，我要退货退款,退款
ORD20260811002,东西我不想要了，还没发货能直接退款吗？,退款
ORD20260811003,收到的电饭煲煮饭有股塑料味，肯定有问题，要求退款不要换,退款
ORD20260811004,这双鞋买大了两个码，申请退款居然被拒绝了，凭什么？,退款
ORD20260811005,说好的7天无理由，我第6天申请的怎么显示不通过,退款
ORD20260811006,退款什么时候能到账？都三天了还没动静,退款
ORD20260811007,我收到的按摩仪是坏的，插电没反应，我要退款退货,退款
ORD20260811008,多拍了一件，想退掉一件，运费谁出？,退款
ORD20260811009,这个保温杯收到了但盖子裂了，能给我换个吗,换货
ORD20260811010,外套尺码拍小了，想换个L码，有货吗,换货
ORD20260811011,耳机左耳没声音，换个新的吧，别修了,换货
ORD20260811012,台灯送来就是歪的，灯罩变形，换一个行不行,换货
ORD20260811013,键盘有几个键按下去不回弹，能换吗,换货
ORD20260811014,买的被子尺寸不对，想换成双人的，差价怎么算,换货
ORD20260811015,鞋子穿了一天开胶了，质量问题要换一双,换货
ORD20260811016,昨天下的单，今天看还是待发货，什么时候能发出？,物流
ORD20260811017,物流显示已签收但我没收到货，怎么回事,物流
ORD20260811018,快递在转运中心三天没动了，帮我催一下,物流
ORD20260811019,发贷地址写错了，能改吗？还没发货,物流
ORD20260811020,你们发的什么快递？顺丰要加钱吗,物流
ORD20260811021,包裹到了三天一直没取件码，驿站说没这个件,物流
ORD20260811022,物流信息一直停留在'已揽收'，是不是丢件了,物流
ORD20260811023,帮我看看这个件到哪了，单号发你,物流
ORD20260811024,发票怎么开啊，我单位报销要用,发票
ORD20260811025,上次申请的发票怎么还没收到邮件？,发票
ORD20260811026,能开增值税专用发票吗，公司抬头怎么填,发票
ORD20260811027,发票抬头写错了，能改吗,发票
ORD20260811028,买的时候没要发票，现在能补开吗,发票
ORD20260811029,发票金额怎么比实付少，用了优惠券的部分不算吗,发票
ORD20260811030,你们家优惠券为啥用不了？明明显示满200减30,优惠券
ORD20260811031,领券中心领的券怎么不见了，也没用过,优惠券
ORD20260811032,大促的券能叠加店铺券一起用吗,优惠券
ORD20260811033,退款之后优惠券还会退回来吗,优惠券
ORD20260811034,新人券领不了，提示资格不符,优惠券
ORD20260811035,这个手机壳支持iPhone 16 Pro吗,商品咨询
ORD20260811036,咖啡机是国行的吗？电压多少,商品咨询
ORD20260811037,这个床垫厚度多少，适合乳胶床垫上用吗,商品咨询
ORD20260811038,衣服是纯棉的吗？会缩水吗,商品咨询
ORD20260811039,扫地机器人能扫地毯吗？家里有地毯,商品咨询
ORD20260811040,拍立得相纸是官方的吗，一盒几张,商品咨询
ORD20260811041,这个显示器支持壁挂吗？VESA孔位多少,商品咨询
ORD20260811042,客服是死人吗，打了三次电话都没人接！,投诉
ORD20260811043,垃圾商家，发错货还态度差，我要投诉你们,投诉
ORD20260811044,等了半个月才到货，东西还坏了，太气人了,投诉
ORD20260811045,售后一直推诿，说要核实就没下文了，投诉！,投诉
ORD20260811046,你们的客服机器人答非所问，人工也找不到，差评！,投诉
ORD20260811047,账号突然登不上去了，密码改了也不行,账号问题
ORD20260811048,手机号不用了，怎么换绑？订单还能查到吗,账号问题
ORD20260811049,我账号被锁定了一直提示异常登录,账号问题
ORD20260811050,收货人信息怎么改？账号里改不了,账号问题
