日志ID,API Key,模型,服务类型,状态码,状态,开始时间,结束时间,耗时,输入费用（元）,输出费用（元）,总费用（元）,输入（token）,输出（token）,错误信息
chatcmpl-01dcee80b85f4f3080fbc33ace34a952,sk-65***beb21,deepseek-v3,对话补全,200,成功,2026-07-21 00:50:22,2026-07-21 00:50:23,1.0s,0.000008,0.000096,0.00010400000000000001,4,12,
chatcmpl-71a1b8c0afac42348f323d08a7b00b90,sk-65***beb21,deepseek/deepseek-v4-flash,对话补全,403,失败,2026-07-21 00:40:16,2026-07-21 00:40:16,0ms,0,0,0,0,0,access denied for invalid user
chatcmpl-538ad2987b5a480db8ce4cc15de3370c,sk-65***beb21,deepseek/deepseek-v4-flash,对话补全,200,成功,2026-07-21 00:40:08,2026-07-21 00:40:16,8.0s,0.000055,0.000858,0.0009130000000000001,55,429,
chatcmpl-9c1b1f49f2e3473db609ba5e4978bd04,sk-65***beb21,deepseek/deepseek-v4-flash,对话补全,429,失败,2026-07-21 00:39:52,2026-07-21 00:39:52,0ms,0,0,0,0,0,rate limit reached for RPM
chatcmpl-b79dd2238914413db26957bf20ff7472,sk-65***beb21,deepseek/deepseek-v4-flash,对话补全,429,失败,2026-07-21 00:39:43,2026-07-21 00:39:43,0ms,0,0,0,0,0,rate limit reached for RPM
chatcmpl-1d23a02abf0b4791bfd112e5d23abc5d,sk-65***beb21,deepseek/deepseek-v4-flash,对话补全,429,失败,2026-07-21 00:39:39,2026-07-21 00:39:39,0ms,0,0,0,0,0,rate limit reached for RPM
chatcmpl-d69d60f279b241d88fcde34b7a622c7e,sk-65***beb21,deepseek/deepseek-v4-flash,对话补全,429,失败,2026-07-21 00:39:37,2026-07-21 00:39:37,0ms,0,0,0,0,0,rate limit reached for RPM
chatcmpl-236dfed5055c48f181365af272bf8d4b,sk-65***beb21,deepseek/deepseek-v4-flash,对话补全,429,失败,2026-07-21 00:39:36,2026-07-21 00:39:36,0ms,0,0,0,0,0,rate limit reached for RPM
chatcmpl-3b890459c9c1458a828c04127833938a,sk-65***beb21,deepseek/deepseek-v4-flash,对话补全,200,成功,2026-07-21 00:39:29,2026-07-21 00:39:36,7.0s,0.000055,0.001246,0.0013009999999999999,55,623,
chatcmpl-4b09d871c720495fb1a519ccecad3500,sk-65***beb21,deepseek/deepseek-v4-flash,对话补全,200,成功,2026-07-21 00:39:23,2026-07-21 00:39:29,6.0s,0.000054,0.000736,0.00079,54,368,
